SID000000 "Loan Confirmed"
SID000129 "Driver Gains Funding"
SID000130 "Team Manager"
SID000131 "A friend of mine saw someone from %s at the %s factory last week."
SID000132 "%s Spotted"
SID000133 "Commercial Manager"
SID000134 "I have been tipped off that %s is also talking to %s."
SID000135 "%s Competition"
SID000136 "Commercial Manager"
SID000137 "I have found out that %s is close to doing a deal with %s."
SID000138 "%s Targeted"
SID000139 "Commercial Manager"
SID000140 "%s is out to get us! The team is hours away from signing %s out from under our noses!"
SID000141 "%s Stolen"
SID000142 "Commercial Manager"
SID000143 "Car Livery"
SID000144 "Commercial Manager"
SID000145 "We still have advertising space left on the car to sell to Sponsors."
SID000146 "Unused Car Space"
SID000147 "Commercial Manager"
SID000148 "There is still advertising space left on the car. This makes us look bad and will affect confidence."
SID000149 "Sponsorship Potential"
SID000150 "Commercial Manager"
SID000151 "We need to make sure we secure maximum Sponsorship funding for next year."
SID000152 "Lack Of Sponsors"
SID000153 "Commercial Manager"
SID000154 "We should have a full portfolio of Sponsors for next year. What is going on?"
SID000155 "No Sponsorship Activity"
SID000156 "Commercial Manager"
SID000157 "We do not have any staff assigned to Sponsorship deals. Without Sponsorship we can not run the team."
SID000158 "Staff Slack"
SID000159 "Commercial Manager"
SID000160 "I have people in my department doing nothing. Are you sure you have no work for them?"
SID000161 "Team Sponsor Opportunity"
SID000162 "Commercial Manager"
SID000163 "This is the last year of our contract with the Cash Sponsor in the Team Sponsor position. We should use this chance to line up a Team Sponsor for next year."
SID000164 "Next Year's Engines"
SID000165 "Commercial Manager"
SID000166 "You still do not have any engines lined up for next year. Let me know what you want to do."
SID000167 "Next Year's Tyres"
SID000168 "Commercial Manager"
SID000169 "You do not have a deal in place for next year's tyres. Let me know how you want to proceed."
SID000170 "Next Year's Fuel"
SID000171 "Commercial Manager"
SID000172 "You have not agreed supply of fuel for next season. I await your instructions on this issue."
SID000173 "Next Season's Engines"
SID000174 "Commercial Manager"
SID000175 "If you do not close an Engine Deal soon, we will not be allowed to race next year."
SID000176 "%s is unable to confirm that it has signed an Engine deal in time for next year."
SID000177 "HOARSE POWER"
SID000178 "Next Season's Tyres"
SID000179 "Commercial Manager"
SID000180 "If we do not agree a Tyre Deal fast, we will not be racing next year."
SID000181 "Time is running out for %s, who has still to sign a Tyre deal for next year."
SID000182 "GET A GRIP"
SID000183 "Next Season's Fuel"
SID000184 "Commercial Manager"
SID000185 "We have a few weeks left to sign a Fuel Deal. If we fail, we are all out of a job."
SID000186 "Strange but true. %s has still not signed a Fuel deal for next year."
SID000187 "DEAL ON EMPTY"
SID000188 "FIA Disqualification Notice"
SID000189 "Commercial Manager"
SID000190 "We are finished! Without adequate technical backing, the FIA will not let us enter the Championship I never thought our F1 careers would end like this. Thanks a lot!"
SID000191 "%s has been banned from Formula One Racing following discovery by the FIA of, 'serious organisational problems.'"
SID000192 "TEAM DISQUALIFIED"
SID000193 "Unused Advantage"
SID000194 "Commercial Manager"
SID000195 "You have an unused Advantage. You should use Advantages to influence Sponsor deals as soon as possible."
SID000196 "Unused Advantage"
SID000197 "Commercial Manager"
SID000198 "You have an unused Advantage. You should use Advantages to influence Sponsor deals as soon as possible."
SID000199 "Unused Advantage"
SID000200 "Commercial Manager"
SID000201 "You have an unused Advantage. You should use Advantages to influence Sponsor deals as soon as possible."
SID000202 "Confidential."
SID000203 "Commercial Manager"
SID000204 "I think we are overstaffed. Other than Hospitality work, I have nothing left for my people to do this year. Maybe we should let some of them go."
SID000205 "Hospitality Undermanned"
SID000206 "Commercial Manager"
SID000207 "We do not have any staff working in Hospitality. If we do not entertain Sponsors,  it will be hard to keep them happy, or to make new deals."
SID000208 "VIP Capacity"
SID000209 "Commercial Manager"
SID000210 "We did not invite our full capacity of three VIPs to the last race. I assume you wanted to focus Hospitality on the VIPs you did invite?"
SID000211 "No VIPs"
SID000212 "Commercial Manager"
SID000213 "We invited no VIPs to the last race. I do not understand the reason for this. Hospitality is the most effective way of improving relations with Sponsors."
SID000214 "VIP Query"
SID000215 "Commercial Manager"
SID000216 "At the last race we had staff allocated to VIP slots with no VIPs! I can not think of a good reason for misusing staff this way."
SID000217 "Hospitality Quality"
SID000218 "Commercial Manager"
SID000219 "We need to improve the quality of our Hospitality if we want to impress our VIPs."
SID000220 "Good Weather"
SID000221 "Commercial Manager"
SID000222 "The great weather at the last race really helped with Hospitality."
SID000223 "Awful Weather"
SID000224 "Commercial Manager"
SID000225 "The constant rain at the last race almost ruined our Hospitality area."
SID000226 "The Big One"
SID000227 "Commercial Manager"
SID000228 "Monaco is THE race of the year for Hospitality. Invite your most important Sponsors and spend as much money and manpower as you can."
SID000229 "%s has successfully produced a sponsorship package for next season."
SID000230 "NO MORE ROOM"
SID000231 "It does not look as if %s will gain full sponsor backing for next season."
SID000232 "GOING CHEAP"
SID000233 "No Team Sponsor"
SID000234 "Commercial Manager"
SID000235 "I am now looking for a Cash Sponsor to take the Team Sponsor slot. But we will never be a serious contender without the backing of a proper Team Sponsor."
SID000236 "%s has given up its search for a Team Sponsor for next year."
SID000237 "NO CONFIDENCE"
SID000238 "We have made good progress in our talks with %s."
SID000239 "%s Negotiations"
SID000240 "Commercial Manager"
SID000241 "I am sorry to say that progress on the deal with %s is not going as well as I had hoped."
SID000242 "%s Report"
SID000243 "Commercial Manager"
SID000244 "We have a deal with %s. You can sign now, and continue to negotiate for better terms."
SID000245 "%s Deal Ready"
SID000246 "Commercial Manager"
SID000247 "We have agreed even better terms with %s. Given enough time, I think we can do even better."
SID000248 "%s Deal Bonus"
SID000249 "Commercial Manager"
SID000250 "We have agreed even better terms with %s. Given enough time, I think we can do even better."
SID000251 "%s Deal Bonus"
SID000252 "Commercial Manager"
SID000253 "We now have a great deal with %s. If we work harder, we may be able to agree fixed cash terms."
SID000254 "%s Great Deal"
SID000255 "Commercial Manager"
SID000256 "Break out the champagne! We have a fantastic deal on fixed terms with %s. "
SID000257 "%s Best Deal"
SID000258 "Commercial Manager"
SID000259 "We have made good progress in our talks with %s."
SID000260 "%s Negotiations"
SID000261 "Commercial Manager"
SID000262 "I am sorry to say that progress on the deal with %s is not going as well as I had hoped."
SID000263 "%s Report"
SID000264 "Commercial Manager"
SID000265 "We have made good progress in our talks with %s."
SID000266 "%s Negotiations"
SID000267 "Commercial Manager"
SID000268 "I am sorry to say that progress on the deal with %s is not going as well as I had hoped."
SID000269 "%s Report"
SID000270 "Commercial Manager"
SID000271 "We have made good progress in our talks with %s."
SID000272 "%s Negotiations"
SID000273 "Commercial Manager"
SID000274 "I am sorry to say that progress on the deal with %s is not going as well as I had hoped."
SID000275 "%s Report"
SID000276 "Commercial Manager"
SID000277 "We have agreed payment terms with %s for a Customer deal. The deal is now ready to sign."
SID000278 "%s Customer Deal"
SID000279 "Commercial Manager"
SID000280 "%s has offered us a Partner Deal. We can sign the deal now."
SID000281 "%s Partner Deal"
SID000282 "Commercial Manager"
SID000283 "Great news! %s is prepared to sign a Works deal with us. We should sign now."
SID000284 "%s Works Deal"
SID000285 "Commercial Manager"
SID000286 "We have agreed even better terms with %s. Given enough time, I think we can do even better."
SID000287 "%s Deal Bonus"
SID000288 "Commercial Manager"
SID000289 "We have agreed even better terms with %s. Given enough time, I think we can do even better."
SID000290 "%s Deal Bonus"
SID000291 "Commercial Manager"
SID000292 "We now have a great deal with %s. If we work harder, we may be able to agree fixed cash terms."
SID000293 "%s Great Deal"
SID000294 "Commercial Manager"
SID000295 "Break out the champagne! We have a fantastic deal on fixed terms with %s. "
SID000296 "%s Best Deal"
SID000297 "Commercial Manager"
SID000298 "Cash Overspend"
SID000299 "Commercial Manager"
SID000300 "The banks have sent us a strong warning. If we overspend again, they will close us down."
SID000301 "%s is in dispute with its bank following unauthorised borrowing by the team."
SID000302 "RAIDING THE PIGGY BANK"
SID000303 "One of the people you fired has successfully sued for unfair dismissal. We have had to pay damages of %s."
SID000304 "Unfair Dismissal Case"
SID000305 "Team Manager"
SID000306 "One of your fired staff has successfully sued for unfair dismissal. This will cost you %s, payable immediately."
SID000307 "%s has less Concentration than last year."
SID000308 "Decreased Driver Concentration"
SID000309 "Team Manager"
SID000310 "%s has more Concentration this year."
SID000311 "Increased Driver Concentration"
SID000312 "Team Manager"
SID000313 "%s has more Experience than last year."
SID000314 "Increased Driver Experience"
SID000315 "Team Manager"
SID000316 "%s is worse at Overtaking this year."
SID000317 "Decreased Driver Overtaking"
SID000318 "Team Manager"
SID000319 "%s is better at Overtaking than last year."
SID000320 "Increased Driver Overtaking"
SID000321 "Team Manager"
SID000322 "%s has less Skill than last year."
SID000323 "Decreased Driver Skill"
SID000324 "Team Manager"
SID000325 "%s has more Skill than last year."
SID000326 "Increased Driver Skill"
SID000327 "Team Manager"
SID000328 "%s has less Speed than last year."
SID000329 "Decreased Driver Speed"
SID000330 "Team Manager"
SID000331 "%s has more Speed than last year."
SID000332 "Increased Driver Speed"
SID000333 "Team Manager"
SID000334 "%s has not got as much Stamina this year."
SID000335 "Decreased Driver Stamina"
SID000336 "Team Manager"
SID000337 "%s has more Stamina than last year."
SID000338 "Increased Driver Stamina"
SID000339 "Team Manager"
SID000340 "%s is a worse Wet Weather driver this year."
SID000341 "Decreased Driver Wet Weather"
SID000342 "Team Manager"
SID000343 "%s is a better Wet Weather driver than last year."
SID000344 "Increased Driver Wet Weather"
SID000345 "Team Manager"
SID000346 "%s has announced his intention to return to F1 racing, and is now looking for a deal."
SID000347 "PENSION TOO LOW"
SID000348 "%s has signed a new contract with us."
SID000349 "New Driver Deal"
SID000350 "Team Manager"
SID000351 "%s%d-A"
SID000352 "%s%d-A"
SID000353 "Spare Designers"
SID000354 "Chief Designer"
SID000355 "I have some staff not doing anything. Either find them some work or cut my department cost."
SID000356 "Handling Unknown"
SID000357 "Chief Designer"
SID000358 "We need to do some Development Testing on this year's car, to find out if it has any handling problems."
SID000359 "Missed Deadline"
SID000360 "Chief Designer"
SID000361 "Our new Chassis design is not ready for next season. We will have to use this year's cars."
SID000362 "Missed Deadline"
SID000363 "Chief Designer"
SID000364 "Our new Chassis design is not ready for next season. We will have to use this year's cars."
SID000365 "%s will not have their new car ready in time for next year. This is a major setback."
SID000366 "TOO LATE"
SID000367 "Urgent Problem"
SID000368 "Chief Designer"
SID000369 "Our new car is not ready for next year, and this year's car is not legal. I do not think the FIA will like this."
SID000370 "%s is in crisis following news that it has no legal cars ready to run in time for next year."
SID000371 "END OF THE ROAD"
SID000372 "Spares Shortage"
SID000373 "Technical Director"
SID000374 "We should manufacture some more spares."
SID000375 "Design Bottleneck"
SID000376 "Chief Designer"
SID000377 "Our new chassis design has gone as far as it can in Design. "
SID000378 "Design Problem"
SID000379 "Chief Designer"
SID000380 "Our new chassis design has gone as far as it can in CFD Simulation testing. "
SID000381 "Design Issue"
SID000382 "Chief Designer"
SID000383 "Our new chassis design has gone as far as it can in the Model stage. "
SID000384 "Design Query"
SID000385 "Chief Designer"
SID000386 "Our new chassis design has completed Wind Tunnel testing. We should send it for Construction. "
SID000387 "Design Question"
SID000388 "Chief Designer"
SID000389 "Our chassis improvement design has gone as far as it can in Design."
SID000390 "Design Concerns"
SID000391 "Chief Designer"
SID000392 "Our chassis improvement design has completed CFD Simulation."
SID000393 "Design Confusion"
SID000394 "Chief Designer"
SID000395 "Our chassis improvement design has progressed as much as it can in the Model stage."
SID000396 "Design Problem"
SID000397 "Chief Designer"
SID000398 "We have finished Wind Tunnel testing on our improved chassis design. Send it to Construction."
SID000399 "Technology Design"
SID000400 "Chief Designer"
SID000401 "Our new Technology design is finished and ready to send to Construction."
SID000402 "Driving Aid Design"
SID000403 "Chief Designer"
SID000404 "Our new Driving Aid design is finished and ready to send to Construction."
SID000405 "Late Chassis Design"
SID000406 "Technical Director"
SID000407 "We have no choice but to use last year's cars, even though they are now old and uncompetitive."
SID000408 "%s is late with its new car and will be starting the season running last year's chassis."
SID000409 "ANY OLD IRON"
SID000410 "Late Chassis Design"
SID000411 "Technical Director"
SID000412 "We will not be able to do any Research or Development testing as long as we have any old cars."
SID000413 "Late Chassis Design"
SID000414 "Chief Designer"
SID000415 "We can not start work on designing next year's chassis until we have finished work on this year's."
SID000416 "Late Chassis Design"
SID000417 "Chief Designer"
SID000418 "We can not carry out any more chassis upgrades until we have designed and built our late car."
SID000419 "%s%d-A"
SID000420 "%s%d-A"
SID000421 "The FIA has approved your design for Level %d %s. You may now legally use this Driving Aid on your racing cars."
SID000422 "The FIA has rejected your design for Level %d %s. All work on the project has now been scrapped. You may submit a different level %d %s for approval at a later date."
SID000423 "Improved Tyres"
SID000424 "Technical Director"
SID000425 "We have received new improved tyres from our Tyre Sponsor."
SID000426 "Improved Tyres"
SID000427 "Technical Director"
SID000428 "We have received new improved tyres from our Tyre Sponsor."
SID000429 "Tyre Access"
SID000430 "Technical Director"
SID000431 "We have been given access to tyres developed for a rival team."
SID000432 "Tyres Arrived"
SID000433 "Technical Director"
SID000434 "Baseline Tyres for the new season have arrived."
SID000435 "Improved Engine"
SID000436 "Technical Director"
SID000437 "We have received a new improved engine from our Engine Sponsor."
SID000438 "Improved Engine"
SID000439 "Technical Director"
SID000440 "We have received a new improved engine from our Engine Sponsor."
SID000441 "Engine Access"
SID000442 "Technical Director"
SID000443 "We have been given access to an engine developed for a rival team."
SID000444 "Engine Arrived"
SID000445 "Technical Director"
SID000446 "We have received Baseline Engines for the new season."
SID000447 "Improved Fuel"
SID000448 "Technical Director"
SID000449 "We have received new improved fuel from our Fuel Sponsor."
SID000450 "Improved Fuel"
SID000451 "Technical Director"
SID000452 "We have received new improved fuel from our Fuel Sponsor."
SID000453 "Fuel Access"
SID000454 "Technical Director"
SID000455 "We have been given access to fuel developed for a rival team."
SID000456 "Fuel Arrived"
SID000457 "Technical Director"
SID000458 "Baseline Fuel for the new season has arrived on time."
SID000459 "Fuel Access"
SID000460 "Technical Director"
SID000461 "We have been given access to fuel developed for a rival team."
SID000462 "Tyre Access"
SID000463 "Technical Director"
SID000464 "We have been given access to tyres developed for a rival team."
SID000465 "Engine Access"
SID000466 "Technical Director"
SID000467 "We have been given access to an engine developed for a rival team."
SID000468 "Factory Ready"
SID000469 "Technical Director"
SID000470 "The new larger factory is ready. We can now house more staff and facilities."
SID000471 "Wind Tunnel Ready"
SID000472 "Technical Director"
SID000473 "The new Wind Tunnel is ready. It will speed up the Wind Tunnel phase of Design projects."
SID000474 "Supercomputer Ready"
SID000475 "Technical Director"
SID000476 "The new Supercomputer network is now ready. This will speed up the CFD stage of Design projects."
SID000477 "CAM Ready"
SID000478 "Technical Director"
SID000479 "The new CAM system is now ready. This will speed up the Model stage of Design projects."
SID000480 "CAD Ready"
SID000481 "Technical Director"
SID000482 "The new CAD system is now ready. This will speed up the Design stage of Design projects."
SID000483 "Workshop Ready"
SID000484 "Technical Director"
SID000485 "The new workshop is ready. This will speed up the design of new Technology and Driving Aids."
SID000486 "Test Rig"
SID000487 "Technical Director"
SID000488 "The new Test Rig is ready. It will greatly speed up Testing progress."
SID000489 "Wind Tunnel Deal"
SID000490 "Technical Director"
SID000491 "The Wind Tunnel hire contract has been closed."
SID000492 "Wind Tunnel Hire"
SID000493 "Technical Director"
SID000494 "The Wind Tunnel hire deal only costs money when we have Design projects in the Wind Tunnel phase."
SID000495 "Factory Construction"
SID000496 "Technical Director"
SID000497 "Building has started on the factory expansion. The new factory will be ready at the start of next year."
SID000498 "Wind Tunnel Out Of Date"
SID000499 "Technical Director"
SID000500 "Our Wind Tunnel technology has been superseded. Maybe it is time for an upgrade."
SID000501 "Supercomputer Old"
SID000502 "Technical Director"
SID000503 "Our Supercomputer network is out of date. I suggest that we should upgrade."
SID000504 "CAM Out Of Date"
SID000505 "Technical Director"
SID000506 "Our CAM system is getting a bit old. Maybe we should upgrade to a better system."
SID000507 "CAD Out Of Date"
SID000508 "Technical Director"
SID000509 "Our CAD system is not as cutting edge as it used to be. It might be time to upgrade."
SID000510 "Workshop Out Of Date"
SID000511 "Technical Director"
SID000512 "Our Workshop has degraded with age. I think we should upgrade it."
SID000513 "Test Rig Out Of Date"
SID000514 "Technical Director"
SID000515 "Our Test Rig technology is now old. You should consider an upgrade."
SID000516 "Factory Construction"
SID000517 "Technical Director"
SID000518 "Building has started on the factory expansion. The new factory will be ready at the start of next year."
SID000519 "New Wind Tunnel"
SID000520 "Technical Director"
SID000521 "Work has started on the new Wind Tunnel. It will be ready at the start of next season."
SID000522 "Supercomputer Installation"
SID000523 "Technical Director"
SID000524 "The new Supercomputer network will be ready at the start of next year."
SID000525 "CAM Installation"
SID000526 "Technical Director"
SID000527 "The new Computer Automated Manufacturing system will be ready at the start of next year."
SID000528 "CAD Installation"
SID000529 "Technical Director"
SID000530 "The new Computer Automated Design system will be ready at the start of next year."
SID000531 "Workshop Project"
SID000532 "Technical Director"
SID000533 "Building has started on the new workshop. It will be ready at the start of next year."
SID000534 "New Test Rig"
SID000535 "Technical Director"
SID000536 "Work has begun on the new Test Rig. It will be ready by the start of next year."
SID000537 "Factory Construction"
SID000538 "Technical Director"
SID000539 "Building has started on the factory expansion. The new factory will be ready at the start of next year."
SID000540 "Wind Tunnel Sale"
SID000541 "Technical Director"
SID000542 "We have sold our Wind Tunnel. The money is now in our account."
SID000543 "Supercomputer Sale"
SID000544 "Technical Director"
SID000545 "We have sold our Supercomputer network. The money is now in our account."
SID000546 "CAM Asset Sale"
SID000547 "Technical Director"
SID000548 "We have sold our CAM system. The money is now in our account."
SID000549 "CAD Asset Sale"
SID000550 "Technical Director"
SID000551 "We have sold our CAD system. The money is now in our account."
SID000552 "Workshop Sale"
SID000553 "Technical Director"
SID000554 "We have sold our Workshop. The money is now in our account."
SID000555 "Test Rig Sale"
SID000556 "Technical Director"
SID000557 "We have sold our Test Rig. The money is now in our account."
SID000558 "Car Security"
SID000559 "Chief Mechanic"
SID000560 "If we run another race using FIA non-approved Driving Aids, we must increase Car Security."
SID000561 "The ride height of the %s cars was amazingly constant at the last Grand Prix."
SID000562 "IN SUSPENSE"
SID000563 "The %s cars sounded incredibly smooth at the last race."
SID000564 "GEARING UP"
SID000565 "During Pit Stops at the last race, surprisingly little brake dust came away from the %s cars."
SID000566 "DUST TO DUST"
SID000567 "Both the %s drivers pulled off another fantastic race start at the last Grand Prix."
SID000568 "NO SKIDMARKS"
SID000569 "FIA scrutineers have found non-approved Driving Aids on your race cars. Each illegal car has been disqualified from the race, and the Driving Aid designs have been banned."
SID000570 "FIA scrutineers have found non-approved Driving Aids on your race cars. Each illegal car has been disqualified from the race, and the Driving Aid designs have been banned."
SID000571 "FIA scrutineers have found non-approved Driving Aids on your race cars. Each illegal car has been disqualified from the race, and the Driving Aid designs have been banned."
SID000572 "%s was disqualified at the last race for using a car fitted with illegal Driving Aids."
SID000573 "BANNED ON THE RUN"
SID000574 "Our recent VIP treatment has paid dividends. We now have a Hospitality Advantage we can use in negotiations with the Sponsors we invited."
SID000575 "Hospitality Advantage"
SID000576 "Commercial Manager"
SID000577 "%s has increased its support for our team. We must keep up the good work."
SID000578 "%s Happy"
SID000579 "Commercial Manager"
SID000580 "%s has reduced its support for us. We need to turn this around."
SID000581 "%s Unhappy"
SID000582 "Commercial Manager"
SID000583 "Disastrous Pit Stop"
SID000584 "Chief Mechanic"
SID000585 "We need to increase our Pit Stop Priority if we are to avoid another fiasco like we had at the last race."
SID000586 "Retirement Mystery"
SID000587 "Chief Mechanic"
SID000588 "I am sorry but we have not been able to find a cause for our car's retirement in the pits last race."
SID000589 "Pit Stop Fire"
SID000590 "Chief Mechanic"
SID000591 "We need to increase our Pit Stop Priority if we are to avoid another potential disaster."
SID000592 "A %s Pit Stop at the last race was hampered by refuelling problems."
SID000593 "REFUELLING RIGGED"
SID000594 "Problems with the jack during one of the %s Pit Stops at the last race hurt the team's chances."
SID000595 "DON'T KNOW JACK"
SID000596 "%s admits that one of its cars did stall during a Pit Stop at the last Grand Prix."
SID000597 "LEFT STANDING"
SID000598 "A locked wheelnut during one of the %s Pit Stops at the last race, cost the team dearly."
SID000599 "NUTS"
SID000600 "%s has still not revealed the cause for its Pit Stop retirement at the last race."
SID000601 "MECHANIC FAILURE"
SID000602 "The FIA is calling for an inquiry following a refuelling fire in the %s pits at the last Grand Prix."
SID000603 "INFERNO"
SID000604 "Design Stolen"
SID000605 "Chief Mechanic"
SID000606 "We had a breach of security at the last Grand Prix. I think one of our Driving Aid designs was taken."
SID000607 "%s has called for tighter pit security following problems at the last Grand Prix"
SID000608 "SECURITY LEAK"
SID000609 "Driving Aid"
SID000610 "Chief Mechanic"
SID000611 "We found a Driving Aid on a rival's car at the last race. Let me know what you want to do about it."
SID000612 "One of the stranger rumours at the last race was that some teams were spying on each other's cars."
SID000613 "WHO WATCHES WHO"
SID000614 "Racing Incident"
SID000615 "Chief Mechanic"
SID000616 "We spotted an incident at the last race that is worth a complaint to the FIA."
SID000617 "Pit Lane Priorities"
SID000618 "Chief Mechanic"
SID000619 "I did not receive any priority instructions from you for the last race. This caused us some problems."
SID000620 "Fifth Win!"
SID000621 "Team Manager"
SID000622 "We must not get complacent. We have next year to think about."
SID000623 "%s has won the last five races. Can anyone beat him?"
SID000624 "GAME OVER"
SID000625 "%s has won the last five races. Can anyone beat him?"
SID000626 "GAME OVER"
SID000627 "Fourth Win!"
SID000628 "Team Manager"
SID000629 "The team wants me to thank you for our continued success."
SID000630 "With four straight wins, %s is in a class of his own."
SID000631 "UNSTOPPABLE"
SID000632 "With four straight wins, %s is in a class of his own."
SID000633 "UNSTOPPABLE"
SID000634 "Third Straight Win"
SID000635 "Team Manager"
SID000636 "Our run of success is raising everyone's morale."
SID000637 "%s has taken three races in succession."
SID000638 "HAT TRICK"
SID000639 "%s has taken three races in succession."
SID000640 "HAT TRICK"
SID000641 "Double Win"
SID000642 "Team Manager"
SID000643 "Everything's working well for us."
SID000644 "%s has now won the last two races."
SID000645 "EASY DOUBLE"
SID000646 "%s has now won the last two races."
SID000647 "EASY DOUBLE"
SID000648 "Race Win"
SID000649 "Team Manager"
SID000650 "The race win has delighted everyone on the team."
