SID000000 "Prêt confirmé"
SID000112 "Nos excellents résultats en course nous mettent en position de force pour négocier avec les sponsors."
SID000113 "Avantage en course"
SID000114 "Directeur commercial"
SID000115 "%s est mécontent de nos résultats en course, et a fait jouer une clause de pénalité qui réduit nos rentrées mensuelles."
SID000116 "%s coupe les vivres"
SID000117 "Directeur commercial"
SID000118 "%s est ravi de nos performances, et nous a accordé un bonus ce mois-ci."
SID000119 "%s accorde une prime"
SID000120 "Directeur commercial"
SID000121 "PARTICIPATION PILOTE"
SID000122 "%s a diminué son niveau de participation."
SID000123 "%s a réduit ses versements pour l'an prochain. J'ignore encore de combien."
SID000124 "Pilote moins généreux"
SID000125 "Directeur sportif"
SID000126 "CONTRIBUTION PILOTE"
SID000127 "%s a augmenté son niveau de participation."
SID000128 "%s augmentera ses versements pour l'an prochain. J'ignore encore de combien."
SID000129 "Pilote plus généreux"
SID000130 "Directeur sportif"
SID000131 "Un de mes amis a aperçu quelqu'un de chez %s à l'usine %s la semaine dernière."
SID000132 "%s aperçu"
SID000133 "Directeur commercial"
SID000134 "J'ai appris que %s discutait également avec %s."
SID000135 "Concurrence de %s"
SID000136 "Directeur commercial"
SID000137 "J'ai découvert que %s était sur le point de passer un accord avec %s."
SID000138 "%s visé"
SID000139 "Directeur commercial"
SID000140 "%s va nous doubler ! Cette écurie est sur le point de signer avec %s, juste sous notre nez !"
SID000141 "%s volé"
SID000142 "Directeur commercial"
SID000143 "Livrée de la voiture"
SID000144 "Directeur commercial"
SID000145 "Nous avons encore de l'espace publicitaire à vendre sur la voiture."
SID000146 "Espace pub inutilisé"
SID000147 "Directeur commercial"
SID000148 "Nous avons encore de l'espace publicitaire à vendre sur la voiture. Cela va affecter notre image."
SID000149 "Potentiel de sponsors"
SID000150 "Directeur commercial"
SID000151 "Nous devons nous assurer un maximum de financements par sponsors pour l'an prochain."
SID000152 "Manque de sponsors"
SID000153 "Directeur commercial"
SID000154 "Il nous faudrait un bon portefeuille de sponsors pour l'an prochain. Que se passe-t-il ?"
SID000155 "Aucune activité vers les sponsors"
SID000156 "Directeur commercial"
SID000157 "Nous n'avons pas d'équipe chargée des discussions avec les sponsors. Sans sponsors, on ne peut pas faire tourner l'écurie."
SID000158 "Personnel sous-employé"
SID000159 "Directeur commercial"
SID000160 "Certaines personnes de mon service n'ont rien à faire. Vous n'avez pas de travail à leur donner ?"
SID000161 "Opportunité de sponsor d'écurie"
SID000162 "Directeur commercial"
SID000163 "C'est la dernière année de notre contrat avec le Sponsor en Cash en position de Sponsor d'écurie. Nous devrions saisir cette chance pour dénicher un Sponsor d'écurie pour l'an prochain."
SID000164 "Moteurs de l'an prochain"
SID000165 "Directeur commercial"
SID000166 "Vous n'avez toujours pas de moteurs pour l'an prochain. Dites-moi ce que vous comptez faire."
SID000167 "Pneus pour l'an prochain"
SID000168 "Directeur commercial"
SID000169 "Aucun accord n'a été conclu pour les pneus de l'an prochain. Dites-moi comment vous comptez agir."
SID000170 "Carburant de l'an prochain"
SID000171 "Directeur commercial"
SID000172 "Toujours pas d'accord de carburant pour l'an prochain. J'attends vos instructions à ce propos."
SID000173 "Moteurs pour l'an prochain"
SID000174 "Directeur commercial"
SID000175 "Si vous ne concluez pas un accord moteurs rapidement, nous ne pourrons pas courir l'an prochain."
SID000176 "%s ne peut confirmer qu'un accord moteurs a été signé à temps pour l'an prochain."
SID000177 "PROBLEME MOTEUR"
SID000178 "Pneus de l'an prochain"
SID000179 "Directeur commercial"
SID000180 "Si nous ne passons pas rapidement un accord sur les pneus, nous ne courrons pas l'an prochain."
SID000181 "Le temps joue contre %s, qui doit encore signer un accord sur les pneus pour la saison prochaine."
SID000182 "MANQUE D'ADHERENCE"
SID000183 "Carburant de la saison prochaine"
SID000184 "Directeur commercial"
SID000185 "Nous n'avons plus que quelques semaines pour signer un accord carburant. Sinon, nous serons tous au chômage."
SID000186 "Etonnant, et pourtant vrai. %s n'a toujours pas signé d'accord carburant pour l'an prochain."
SID000187 "RESERVOIR VIDE"
SID000188 "Avis de disqualification de la FIA"
SID000189 "Directeur commercial"
SID000190 "Nous sommes cuits ! Sans soutien technique adapté, la FIA ne nous laissera pas participer au championnat. Je n'aurais jamais cru que notre carrière en F1 s'achèverait ainsi. Encore merci !"
SID000191 "%s a été écarté de la F1 après la découverte par la FIA de 'sérieux problèmes d'organisation'."
SID000192 "ECURIE DISQUALIFIEE"
SID000193 "Avantage inexploité"
SID000194 "Directeur commercial"
SID000195 "Vous disposez d'un avantage inexploité. Vous devriez en tirer profit le plus vite possible pour influencer nos accords avec les sponsors."
SID000196 "Avantage inexploité"
SID000197 "Directeur commercial"
SID000198 "Vous disposez d'un avantage inexploité. Vous devriez en tirer profit le plus vite possible pour influencer nos accords avec les sponsors."
SID000199 "Avantage inexploité"
SID000200 "Directeur commercial"
SID000201 "Vous disposez d'un avantage inexploité. Vous devriez en tirer profit le plus vite possible pour influencer nos accords avec les sponsors."
SID000202 "Confidentiel."
SID000203 "Directeur commercial"
SID000204 "Je pense que nous sommes en surnombre. En dehors des tâches d'invitations, je n'ai plus de travail à donner à mon équipe cette année. Nous devrions nous séparer de quelques personnes."
SID000205 "Invitations insuffisantes"
SID000206 "Directeur commercial"
SID000207 "Nous manquons de gens en matière d'invitations. Si nous ne distrayons pas nos sponsors, nous aurons du mal à les satisfaire, ou à passer de nouveaux contrats."
SID000208 "Capacité en VIP"
SID000209 "Directeur commercial"
SID000210 "Nous n'avons pas exploité notre capacité de 3 VIP lors de la dernière course. Je suppose que vous vouliez soigner tout particulièrement ceux qui étaient là ?"
SID000211 "Pas de VIP"
SID000212 "Directeur commercial"
SID000213 "Nous n'avons invité aucun VIP à la dernière course. Je ne comprends pas. Les invitations sont le meilleur moyen d'améliorer nos relations avec les sponsors."
SID000214 "Et les VIP ?"
SID000215 "Directeur commercial"
SID000216 "Lors de la dernière course, nous avons affecté du personnel à des tâches de VIP sans invités ! Je n'en vois pas l'intérêt."
SID000217 "Qualité des invitations"
SID000218 "Directeur commercial"
SID000219 "Nous devons améliorer la qualité de nos invitations si nous voulons impressionner nos VIP."
SID000220 "Météo clémente"
SID000221 "Directeur commercial"
SID000222 "Le temps superbe lors de la dernière course nous a bien aidés en matière d'invitations."
SID000223 "Temps de chien"
SID000224 "Directeur commercial"
SID000225 "La pluie battante de la dernière course a presque ruiné notre zone d'invitations."
SID000226 "La grande occasion"
SID000227 "Directeur commercial"
SID000228 "Monaco est LA course de l'année en matière d'invitations. Invitez les sponsors les plus importants et ne lésinez pas sur l'argent et le personnel."
SID000229 "%s a réuni un bel ensemble de sponsors pour la saison prochaine."
SID000230 "PLUS DE PLACE"
SID000231 "Il paraît difficile pour %s de réunir un financement complet par sponsors pour l'an prochain."
SID000232 "LES MOYENS FAIBLISSENT"
SID000233 "Pas de sponsor d'écurie"
SID000234 "Directeur commercial"
SID000235 "Je recherche maintenant un sponsor en cash pour occuper la position de sponsor d'écurie. Mais nous ne pourrons jamais prétendre au titre sans vrai sponsor d'écurie."
SID000236 "%s a abandonné ses recherches de sponsor d'écurie pour l'an prochain."
SID000237 "MANQUE DE CONFIANCE"
SID000238 "Nos discussions avec %s ont bien avancé."
SID000239 "Négociations avec %s"
SID000240 "Directeur commercial"
SID000241 "Je suis désolé d'annoncer que nos discussions avec %s se passent moins bien que je l'espérais."
SID000242 "Rapport %s"
SID000243 "Directeur commercial"
SID000244 "Nous tenons un accord avec %s. Vous pouvez signer maintenant, et continuer de négocier pour améliorer notre situation."
SID000245 "Accord %s prêt"
SID000246 "Directeur commercial"
SID000247 "%s nous accorde de meilleures conditions. Avec un peu de temps, je pense que nous pouvons obtenir encore mieux."
SID000248 "Bonus accord %s"
SID000249 "Directeur commercial"
SID000250 "%s nous accorde de meilleures conditions. Avec un peu de temps, je pense que nous pouvons obtenir encore mieux."
SID000251 "Bonus accord %s"
SID000252 "Directeur commercial"
SID000253 "Nous avons maintenant un très bon accord avec %s. En travaillant encore un peu, nous devrions pouvoir obtenir des versements fixes."
SID000254 "Bon accord avec %s"
SID000255 "Directeur commercial"
SID000256 "Champagne ! Nous avons un fantastique accord sur bases fixes avec %s."
SID000257 "Meilleur accord avec %s"
SID000258 "Directeur commercial"
SID000259 "Nos discussions avec %s ont bien avancé."
SID000260 "Négociations avec %s"
SID000261 "Directeur commercial"
SID000262 "Je suis désolé d'annoncer que nos discussions avec %s se passent moins bien que je l'espérais."
SID000263 "Rapport %s"
SID000264 "Directeur commercial"
SID000265 "Nos discussions avec %s ont bien avancé."
SID000266 "Négociations avec %s"
SID000267 "Directeur commercial"
SID000268 "Je suis désolé d'annoncer que nos discussions avec %s se passent moins bien que je l'espérais."
SID000269 "Rapport %s"
SID000270 "Directeur commercial"
SID000271 "Nos discussions avec %s ont bien avancé."
SID000272 "Négociations avec %s"
SID000273 "Directeur commercial"
SID000274 "Je suis désolé d'annoncer que nos discussions avec %s se passent moins bien que je l'espérais."
SID000275 "Rapport %s"
SID000276 "Directeur commercial"
SID000277 "Nous avons établi les conditions financières de notre accord client avec %s. L'accord est prêt à être signé."
SID000278 "Accord client avec %s"
SID000279 "Directeur commercial"
SID000280 "%s nous a offert un accord de partenariat. Nous pouvons signer immédiatement."
SID000281 "Accord partenaire avec %s"
SID000282 "Directeur commercial"
SID000283 "Génial ! %s est prêt à signer un accord d'usine avec nous. On devrait signer tout de suite."
SID000284 "Accord d'usine avec %s"
SID000285 "Directeur commercial"
SID000286 "%s nous accorde de meilleures conditions. Avec un peu de temps, je pense que nous pouvons obtenir encore mieux."
SID000287 "Bonus accord avec %s"
SID000288 "Directeur commercial"
SID000289 "%s nous accorde de meilleures conditions. Avec un peu de temps, je pense que nous pouvons obtenir encore mieux."
SID000290 "Bonus accord avec %s"
SID000291 "Directeur commercial"
SID000292 "Nous avons maintenant un très bon accord avec %s. En travaillant encore un peu, nous devrions pouvoir obtenir des versements fixes."
SID000293 "Super accord avec %s"
SID000294 "Directeur commercial"
SID000295 "Champagne ! Nous avons un fantastique accord sur bases fixes avec %s."
SID000296 "Meilleur accord avec %s"
SID000297 "Directeur commercial"
SID000298 "Découvert"
SID000299 "Directeur commercial"
SID000300 "La banque vient de nous avertir sévèrement. Si nous avons encore un découvert, ils nous laissent tomber."
SID000301 "%s a des ennuis avec sa banque à la suite d'un découvert."
SID000302 "RAID SUR LA TIRELIRE"
SID000303 "L'une des personnes que vous avez renvoyées a gagné son procès pour licenciement abusif. Nous devons payer les dommages-intérêts de %s."
SID000304 "Licenciement abusif"
SID000305 "Directeur sportif"
SID000306 "L'une des personnes virées a gagné son procès pour licenciement abusif. Cela vous coûtera %s, payables immédiatement."
SID000307 "La concentration de %s est moins élevée que l'an dernier."
SID000308 "Pilote moins concentré"
SID000309 "Directeur sportif"
SID000310 "%s est plus concentré cette année."
SID000311 "Pilote plus concentré"
SID000312 "Directeur sportif"
SID000313 "%s fait preuve de plus d'expérience que l'an dernier."
SID000314 "Expérience de pilote accrue"
SID000315 "Directeur sportif"
SID000316 "%s est moins bon en dépassement cette année."
SID000317 "Pilote moins bon en dépassement"
SID000318 "Directeur sportif"
SID000319 "%s est meilleur en dépassement que l'an dernier."
SID000320 "Pilote meilleur en dépassement"
SID000321 "Directeur sportif"
SID000322 "%s est moins talentueux que l'an dernier."
SID000323 "Pilote moins talentueux"
SID000324 "Directeur sportif"
SID000325 "%s a plus de talent que l'an dernier."
SID000326 "Pilote plus talentueux"
SID000327 "Directeur sportif"
SID000328 "La vitesse de %s est inférieure à celle de l'an dernier."
SID000329 "Pilote moins rapide"
SID000330 "Directeur sportif"
SID000331 "%s est plus rapide que l'an dernier."
SID000332 "Pilote plus rapide"
SID000333 "Directeur sportif"
SID000334 "%s a moins de tonus cette année."
SID000335 "Moindre tonus du pilote"
SID000336 "Directeur sportif"
SID000337 "%s a plus de tonus que l'an dernier."
SID000338 "Meilleur tonus du pilote"
SID000339 "Directeur sportif"
SID000340 "%s pilote moins bien par temps de pluie cette année."
SID000341 "Pilote moins bon sous la pluie"
SID000342 "Directeur sportif"
SID000343 "%s pilote mieux sous la pluie que l'an dernier."
SID000344 "Pilote meilleur sous la pluie"
SID000345 "Directeur sportif"
SID000346 "%s a annoncé son intention de revenir en F1, et cherche un accord."
SID000347 "RETRAITE INSUFFISANTE"
SID000348 "%s a signé un nouveau contrat avec nous."
SID000349 "Nouveau contrat de pilote"
SID000350 "Directeur sportif"
SID000351 "%s%d-A"
SID000352 "%s%d-A"
SID000353 "Concepteurs de rechanges"
SID000354 "Responsable conception"
SID000355 "Certains de mes collaborateurs n'ont rien à faire. Trouvez-leur du travail ou diminuez les coûts de mon département."
SID000356 "Tenue de route inconnue"
SID000357 "Responsable conception"
SID000358 "Nous devons faire des essais sur la voiture de cette année pour découvrir si elle a des problèmes de tenue de route."
SID000359 "Délai dépassé"
SID000360 "Responsable conception"
SID000361 "Notre nouveau châssis ne sera pas prêt pour l'an prochain. Nous devrons utiliser celui de cette année."
SID000362 "Délai dépassé"
SID000363 "Responsable conception"
SID000364 "Notre nouveau châssis ne sera pas prêt pour l'an prochain. Nous devrons utiliser celui de cette année."
SID000365 "La nouvelle voiture de %s ne sera pas prête pour l'an prochain. Ce sera un handicap majeur."
SID000366 "TROP TARD"
SID000367 "Problème urgent"
SID000368 "Responsable conception"
SID000369 "Notre nouvelle voiture n'est pas prête, et celle de cette année ne correspondra plus au règlement. La FIA ne va pas aimer ça."
SID000370 "%s est en crise, car il n'a pas de voitures conformes prêtes à courir à temps pour l'an prochain."
SID000371 "LE BOUT DU CHEMIN"
SID000372 "Manque de rechanges"
SID000373 "Directeur technique"
SID000374 "Nous devrions fabriquer des rechanges supplémentaires."
SID000375 "Goulot d'étranglement en conception"
SID000376 "Responsable conception"
SID000377 "Notre nouveau modèle de châssis a terminé la phase de conception. "
SID000378 "Problème en conception"
SID000379 "Responsable conception"
SID000380 "Notre nouveau modèle de châssis a terminé la phase d'essais en simulation informatique. "
SID000381 "Question en conception"
SID000382 "Responsable conception"
SID000383 "Notre nouveau modèle de châssis a terminé la phase de maquette. "
SID000384 "Demande de conception"
SID000385 "Responsable conception"
SID000386 "Notre nouveau modèle de châssis a terminé les essais en soufflerie. Nous devrions passer à la construction. "
SID000387 "Question en conception"
SID000388 "Responsable conception"
SID000389 "Nos améliorations au châssis ont achevé la phase de conception."
SID000390 "Soucis de conception"
SID000391 "Responsable conception"
SID000392 "Nos améliorations au châssis ont achevé la phase de simulation."
SID000393 "Confusion en conception"
SID000394 "Responsable conception"
SID000395 "Nos améliorations au châssis ont achevé la phase de maquette."
SID000396 "Problème en conception"
SID000397 "Responsable conception"
SID000398 "Nos améliorations au châssis ont terminé les essais en soufflerie. Passez à la construction."
SID000399 "Conception & technologie"
SID000400 "Responsable conception"
SID000401 "Notre nouvelle application technologique est terminée et prête à partir en construction."
SID000402 "Conception d'aide au pilotage"
SID000403 "Responsable conception"
SID000404 "Notre conception de nouvelle aide au pilotage est terminée et prête à partir en construction."
SID000405 "Ancien modèle de châssis"
SID000406 "Directeur technique"
SID000407 "Nous sommes obligés d'utiliser les voitures de l'an dernier, même si elles sont désormais dépassées."
SID000408 "%s accumule les retards sur sa nouvelle voiture et devra commencer la saison en engageant le châssis de l'an dernier."
SID000409 "TAS DE FERRAILLE"
SID000410 "Ancien modèle de châssis"
SID000411 "Directeur technique"
SID000412 "Nous ne pourrons pas faire d'essais de recherche ou de développement tant que n'aurons que les anciennes voitures."
SID000413 "Ancien modèle de châssis"
SID000414 "Responsable conception"
SID000415 "Nous ne pouvons entamer la conception du châssis de l'an prochain tant que nous n'avons pas terminé celui de cette année."
SID000416 "Ancien modèle de châssis"
SID000417 "Responsable conception"
SID000418 "Nous ne pouvons pas lancer d'autres améliorations au châssis tant que nous n'aurons pas construit notre dernière voiture."
SID000419 "%s%d-A"
SID000420 "%s%d-A"
SID000421 "La FIA a approuvé votre conception pour le niveau %d %s. Vous pouvez désormais utiliser cette aide au pilotage sur vos voitures de course."
SID000422 "La FIA a rejeté votre conception pour le niveau %d %s. Tous les travaux sur ce projet ont été détruits. Vous pourrez soumettre à approbation un(e) %d %s de niveau différent par la suite."
SID000423 "Pneus améliorés"
SID000424 "Directeur technique"
SID000425 "Nous avons reçu de nouveaux pneus améliorés de notre sponsor de pneus."
SID000426 "Pneus améliorés"
SID000427 "Directeur technique"
SID000428 "Nous avons reçu de nouveaux pneus améliorés de notre sponsor de pneus."
SID000429 "Pneus disponibles"
SID000430 "Directeur technique"
SID000431 "Nous avons maintenant accès aux pneus développés pour une écurie rivale."
SID000432 "Pneus arrivés"
SID000433 "Directeur technique"
SID000434 "Les pneus de base de la nouvelle saison sont arrivés."
SID000435 "Moteur amélioré"
SID000436 "Directeur technique"
SID000437 "Notre sponsor moteur nous a expédié un nouveau moteur amélioré."
SID000438 "Moteur amélioré"
SID000439 "Directeur technique"
SID000440 "Notre sponsor moteur nous a expédié un nouveau moteur amélioré."
SID000441 "Moteur disponible"
SID000442 "Directeur technique"
SID000443 "Nous avons désormais accès au moteur développé pour une écurie rivale."
SID000444 "Moteur arrivé"
SID000445 "Directeur technique"
SID000446 "Les moteurs de base de la nouvelle saison sont arrivés."
SID000447 "Carburant amélioré"
SID000448 "Directeur technique"
SID000449 "Notre sponsor carburant nous a expédié un nouveau carburant amélioré."
SID000450 "Carburant amélioré"
SID000451 "Directeur technique"
SID000452 "Notre sponsor carburant nous a expédié un nouveau carburant amélioré."
SID000453 "Carburant disponible"
SID000454 "Directeur technique"
SID000455 "Nous avons maintenant accès au carburant développé pour une écurie rivale."
SID000456 "Carburant arrivé"
SID000457 "Directeur technique"
SID000458 "Le carburant de base de la nouvelle saison est arrivé à temps."
SID000459 "Carburant disponible"
SID000460 "Directeur technique"
SID000461 "Nous avons maintenant accès au carburant développé pour une écurie rivale."
SID000462 "Pneus disponibles"
SID000463 "Directeur technique"
SID000464 "Nous avons maintenant accès aux pneus développés pour une écurie rivale."
SID000465 "Moteur disponible"
SID000466 "Directeur technique"
SID000467 "Nous avons maintenant accès au moteur développé pour une écurie rivale."
SID000468 "Usine prête"
SID000469 "Directeur technique"
SID000470 "La nouvelle usine agrandie est prête. Nous pouvons accueillir davantage de personnel et d'installations."
SID000471 "Soufflerie prête"
SID000472 "Directeur technique"
SID000473 "La nouvelle soufflerie est prête. Elle accélérera la phase de soufflerie des projets de conception."
SID000474 "Superordinateur prêt"
SID000475 "Directeur technique"
SID000476 "Le nouveau réseau de superordinateurs est prêt. Il accélérera la phase de simulation des projets de conception."
SID000477 "FAO prête"
SID000478 "Directeur technique"
SID000479 "Le nouveau système de FAO est opérationnel. Il accélérera la phase de maquette des projets de conception."
SID000480 "CAO prête"
SID000481 "Directeur technique"
SID000482 "Le nouveau système de CAO est prêt. Il accélérera la phase de conception des nouveaux projets."
SID000483 "Atelier prêt"
SID000484 "Directeur technique"
SID000485 "Le nouvel atelier est prêt. Il accélérera la conception des nouvelles technologies et aides au pilotage."
SID000486 "Banc d'essai"
SID000487 "Directeur technique"
SID000488 "Le nouveau banc d'essai est prêt. Il accélérera grandement la progression des essais."
SID000489 "Accord de soufflerie"
SID000490 "Directeur technique"
SID000491 "Le contrat de location de la soufflerie a été conclu."
SID000492 "Location de soufflerie"
SID000493 "Directeur technique"
SID000494 "La soufflerie ne nous coûtera de l'argent que lorsque nous l'occuperons avec des projets de conception."
SID000495 "Construction d'usine"
SID000496 "Directeur technique"
SID000497 "La construction de l'agrandissement de l'usine a commencé. La nouvelle usine sera prête au début de l'an prochain."
SID000498 "Soufflerie dépassée"
SID000499 "Directeur technique"
SID000500 "La technologie de notre soufflerie est dépassée. Il serait temps de la mettre à jour."
SID000501 "Superordinateur dépassé"
SID000502 "Directeur technique"
SID000503 "Notre réseau de superordinateurs est dépassé. Je suggère une mise à niveau."
SID000504 "FAO dépassée"
SID000505 "Directeur technique"
SID000506 "Notre système de FAO commence à dater. Nous devrions passer à un système plus récent."
SID000507 "CAO dépassée"
SID000508 "Directeur technique"
SID000509 "Notre système de CAO se fait vieux. Il serait peut-être temps de le mettre à jour."
SID000510 "Atelier dépassé"
SID000511 "Directeur technique"
SID000512 "Notre atelier s'est dégradé avec l'âge. Je pense que nous devrions le renouveler."
SID000513 "Banc d'essai vieillot"
SID000514 "Directeur technique"
SID000515 "La technologie de notre banc d'essai est plutôt ancienne. Vous devriez le mettre à niveau."
SID000516 "Construction d'usine"
SID000517 "Directeur technique"
SID000518 "La construction de l'agrandissement de l'usine a commencé. La nouvelle usine sera prête au début de l'an prochain."
SID000519 "Nouvelle soufflerie"
SID000520 "Directeur technique"
SID000521 "Les travaux de la nouvelle soufflerie ont commencé. Elle sera prête au début de la saison prochaine."
SID000522 "Installation des superordinateurs"
SID000523 "Directeur technique"
SID000524 "Le nouveau réseau de superordinateurs sera prêt au début de l'année prochaine."
SID000525 "Installation de FAO"
SID000526 "Directeur technique"
SID000527 "Le nouveau système de fabrication assistée par ordinateur sera prêt au début de l'an prochain."
SID000528 "Installation de CAO"
SID000529 "Directeur technique"
SID000530 "Le nouveau système de conception assistée par ordinateur sera prêt au début de l'an prochain."
SID000531 "Projet d'atelier"
SID000532 "Directeur technique"
SID000533 "Les travaux du nouvel atelier ont commencé. Il sera prêt au début de l'an prochain."
SID000534 "Nouveau banc d'essai"
SID000535 "Directeur technique"
SID000536 "Les travaux du nouveau banc d'essai ont commencé. Il sera prêt au début de l'an prochain."
SID000537 "Construction d'usine"
SID000538 "Directeur technique"
SID000539 "La construction de l'agrandissement de l'usine a commencé. La nouvelle usine sera prête au début de l'an prochain."
